# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -3995 2 1340 66309 20972288 1 build/GeneralUserGS/0889/2.wav
DUPTYPE_WITHIN_SAME_TREE -3995 2 1340 66309 19272351 1 build/GeneralUserGS/0331/4.wav
DUPTYPE_WITHIN_SAME_TREE -3995 2 1340 66309 20971650 1 build/GeneralUserGS/0801/4.wav
DUPTYPE_FIRST_OCCURRENCE 4405 2 1340 66309 19403667 1 build/GeneralUserGS/0371/0.wav
DUPTYPE_WITHIN_SAME_TREE -4405 2 1340 66309 20847140 1 build/GeneralUserGS/0630/4.wav
DUPTYPE_WITHIN_SAME_TREE -4405 2 1340 66309 20847141 1 build/GeneralUserGS/0630/5.wav
DUPTYPE_WITHIN_SAME_TREE -4405 2 1340 66309 19403740 1 build/GeneralUserGS/0381/3.wav
DUPTYPE_WITHIN_SAME_TREE -4405 2 1340 66309 20847106 1 build/GeneralUserGS/0621/3.wav
DUPTYPE_WITHIN_SAME_TREE -4405 2 1340 66309 19403778 1 build/GeneralUserGS/0385/0.wav
DUPTYPE_FIRST_OCCURRENCE 4295 2 1340 66309 19009635 1 build/GeneralUserGS/0283/0.wav
DUPTYPE_WITHIN_SAME_TREE -4295 2 1340 66309 19403780 1 build/GeneralUserGS/0385/2.wav
DUPTYPE_WITHIN_SAME_TREE -4295 2 1340 66309 19403742 1 build/GeneralUserGS/0381/5.wav
DUPTYPE_WITHIN_SAME_TREE -4295 2 1340 66309 20847108 1 build/GeneralUserGS/0621/5.wav
